Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
1918 Cherokee Rd NW,3 Beds,1 Bath,"2,209 sqft",1949,No Info,"$194,900",Albuquerque
9612 Woodland Ave NE,3 Beds,2 Baths,"1,460 sqft",1950,No Info,"$210,000",Albuquerque
10651 Gentry Ln SW,2 Beds,2 Baths,"1,324 sqft",2006,1 Car Garage,"$205,000",Albuquerque
13616 Elena Gallegos Pl NE,5 Beds,4 Baths,"5,206 sqft",1999,4 Car Garage,"$1,400,000",Albuquerque
2401 Ghost Ranch St SW,3 Beds,2 Baths,"1,288 sqft",2006,No Info,"$199,000",Albuquerque
7431 Bell Ave SE,3 Beds,2 Baths,"1,325 sqft",2002,No Info,"$120,000",Albuquerque
8505 Rancho Del Oro Pl NE,4 Beds,3 Baths,"1,964 sqft",1998,2 Car Garage,"$349,000",Albuquerque
9713 Constitution Ave NE,3 Beds,1 Bath,950 sqft,1956,1 Car Garage,"$200,000",Albuquerque
4401 Tres Vistas Rd NW,4 Beds,3 Baths,"2,709 sqft",1998,2 Car Garage,"$375,000",Albuquerque
5305 Canada Vista Pl NW,4 Beds,4 Baths,"4,000 sqft",1974,2 Car Garage,"$925,000",Albuquerque
601 Menaul Blvd NE #1601,2 Beds,2 Baths,"1,166 sqft",2010,1 Car Garage,"$205,000",Albuquerque
1421 Field Dr NE,3 Beds,2 Baths,"1,827 sqft",1961,2 Car Garage,"$298,500",Albuquerque
2600 Bosque Del Sol Ln NW,4 Beds,4 Baths,"3,825 sqft",1999,3 Car Garage,"$600,000",Albuquerque
9817 Benton St NW,3 Beds,3 Baths,"2,246 sqft",2005,3 Car Garage,"$399,000",Albuquerque
8101 Harwood Ave NE,3 Beds,2 Baths,"2,504 sqft",1972,2 Car Garage,"$425,000",Albuquerque
5515 Payson Ct NW,3 Beds,2 Baths,"1,484 sqft",2005,2 Car Garage,"$275,000",Albuquerque
2100 Summer Ray Dr NW,3 Beds,2 Baths,"1,459 sqft",1997,Garage,"$245,000",Albuquerque
913 La Veta Dr NE,2 Beds,1 Bath,965 sqft,1949,No Info,"$195,000",Albuquerque
7321 Thunderbird Ct NW,7 Beds,3 Baths,"3,566 sqft",1977,No Info,"$275,000",Albuquerque
339 59th St NW,3 Beds,3 Baths,"1,441 sqft",1951,1 Car Garage,"$190,000",Albuquerque
2735 San Pablo St NE,3 Beds,1 Bath,"1,587 sqft",1954,Garage,"$218,144",Albuquerque
8916 Robs Pl NE,4 Beds,4 Baths,"3,615 sqft",2004,2 Car Garage,"$710,000",Albuquerque
4620 Gretta Ct NE,3 Beds,3 Baths,"1,379 sqft",1997,Garage,"$244,000",Albuquerque
9001 Vistas Dr NE,4 Beds,3 Baths,"1,875 sqft",2001,2 Car Garage,"$389,000",Albuquerque
10513 Ralph Ave NE,3 Beds,1 Bath,970 sqft,1954,1 Car Garage,"$170,000",Albuquerque
2918 Manzano St NE,3 Beds,2 Baths,"1,471 sqft",1957,Garage,"$224,900",Albuquerque
5016 Sunningdale Ave NE,4 Beds,2 Baths,"2,234 sqft",1968,2 Car Garage,"$465,000",Albuquerque
18 Lakeshore Dr NE,2 Beds,3 Baths,"1,859 sqft",1972,2 Car Garage,"$235,000",Albuquerque
4651 Idlewilde Ln SE,2 Beds,2 Baths,"1,336 sqft",No Info,1 Car Garage,"$240,000",Albuquerque
6500 Kimmick Dr NW,4 Beds,3 Baths,"3,085 sqft",No Info,3 Car Garage,"$850,000",Albuquerque
7417 Cienega Rd NW,3 Beds,2 Baths,"1,846 sqft",1988,2 Car Garage,"$350,000",Albuquerque
13405 La Arista Pl NE,3 Beds,4 Baths,"4,000 sqft",2006,Garage,"$1,800,000",Albuquerque
8432 Manuel Cia Pl NE,4 Beds,3 Baths,"2,281 sqft",No Info,3 Car Garage,"$425,000",Albuquerque
4901 Indigo Dr NW,3 Beds,3 Baths,"2,188 sqft",1987,No Info,"$339,900",Albuquerque
7105 Luella Anne Dr NE,3 Beds,2 Baths,"1,990 sqft",1976,2 Car Garage,"$389,000",Albuquerque
301 Central Ave NE #306,Studio,1 Bath,950 sqft,1914,No Info,"$199,000",Albuquerque
9219 Lexie Ln NE,5 Beds,5 Baths,"5,331 sqft",2007,3 Car Garage,"$1,235,000",Albuquerque
1518 Wellesley Dr NE,4 Beds,3 Baths,"2,988 sqft",1959,2 Car Garage,"$588,000",Albuquerque
7908 Woodhaven Dr NE,3 Beds,2 Baths,"1,950 sqft",1985,Garage,"$365,000",Albuquerque
3629 Campus Blvd NE,3 Beds,2 Baths,"1,964 sqft",1938,Garage,"$557,500",Albuquerque
8223 Pickard Ave NE,4 Beds,3 Baths,"3,122 sqft",1974,2 Car Garage,"$483,500",Albuquerque
13109 Sunrise Trail Pl NE,3 Beds,3 Baths,"2,769 sqft",1999,2 Car Garage,"$735,000",Albuquerque
2916 3rd St NW,2 Beds,1 Bath,827 sqft,1920,No Info,"$135,000",Albuquerque
12700 Sunset Ridge Pl NE,4 Beds,3 Baths,"2,591 sqft",1998,3 Car Garage,"$560,000",Albuquerque
4335 San Isidro St NW,3 Beds,3 Baths,"2,658 sqft",1965,2 Car Garage,"$499,000",Albuquerque
1401 5th St NW,3 Beds,3 Baths,"2,900 sqft",1906,No Info,"$595,000",Albuquerque
11723 Gallant Fox Rd SE,4 Beds,3 Baths,"2,286 sqft",2007,2 Car Garage,"$325,000",Albuquerque
10213 Malaguena Ln NE,4 Beds,3 Baths,"1,927 sqft",1975,2 Car Garage,"$379,900",Albuquerque
406 Charleston St NE,3 Beds,2 Baths,"1,603 sqft",1952,No Info,"$249,500",Albuquerque
2822 Porto St SW,3 Beds,3 Baths,"2,291 sqft",2007,2 Car Garage,"$240,000",Albuquerque
