Bedroom,Bathroom,Sqft,Price,Parking,Address,Yearbuild
1 Bed,1 Bath,630 sqft,"$400,000",Open Parking,"4378 Idaho St #12San Diego, CA 92104",1979
3 Beds,2 Baths,"1,200 sqft","$849,900",Garage,"5226 Palmyra AveSan Diego, CA 92117",1963
1 Bed,1 Bath,663 sqft,"$299,000",1 Parking Spaces,"4240 Menlo Ave #12San Diego, CA 92115",1982
2 Beds,3 Baths,"3,530 sqft","$5,000,000",2 Car Garage,"1370 W Muirlands DrLa Jolla, CA 92037",1990
2 Beds,2 Baths,720 sqft,"$460,000",1 Parking Spaces,"3540 Madison Ave #7San Diego, CA 92116",1984
4 Beds,3 Baths,"2,093 sqft","$670,000",2 Car Garage,"5744 Dream StSan Diego, CA 92114",1953
5 Beds,6 Baths,"4,611 sqft","$2,499,000",2 Car Garage,"17168 Blue Skies RdgSan Diego, CA 92127",2002
3 Beds,2 Baths,"1,184 sqft","$474,900",Garage,"1312 W San Ysidro Blvd #ASan Ysidro, CA 92173",1985
2 Beds,3 Baths,"1,615 sqft","$1,500,000",Garage,"101 Coast Blvd #1GLa Jolla, CA 92037",1987
5 Beds,5 Baths,"4,480 sqft","$4,099,999",3 Car Garage,"5362 Aurora Summit TrlSan Diego, CA 92130",2019
4 Beds,3 Baths,"2,683 sqft","$1,750,000",3 Car Garage,"6396 Lilac WaySan Diego, CA 92130",2018
2 Beds,3 Baths,"1,200 sqft","$695,000",1 Car Garage,"3467 Reynard Way #BSan Diego, CA 92103",1982
4 Beds,4 Baths,"2,602 sqft","$1,799,999",2 Car Garage,"6791 Solterra Vista PkwySan Diego, CA 92130",2017
4 Beds,1 Bath,"1,182 sqft","$565,000",Open Parking,"412 Encinitas AveSan Diego, CA 92114",1954
5 Beds,3 Baths,"1,936 sqft","$1,350,000",2 Car Garage,"10764 Corte De TiburonSan Diego, CA 92130",2000
4 Beds,3 Baths,"2,334 sqft","$1,399,000",Garage,"10416 Plumeria LnSan Diego, CA 92127",2006
3 Beds,3 Baths,"1,680 sqft","$999,499",No Info,"3705 Bancroft StSan Diego, CA 92104",1943
5 Beds,4 Baths,"1,230 sqft","$639,000",No Info,"1752 Klauber AveSan Diego, CA 92114",1980
2 Beds,2 Baths,689 sqft,"$939,000",Garage,"3915 Brant StSan Diego, CA 92103",1914
2 Beds,1 Bath,"1,038 sqft","$969,000",Garage,"1319 Granada AveSan Diego, CA 92102",1923
3 Beds,3 Baths,"2,023 sqft","$1,269,000",2 Car Garage,"3479 Via BeltranSan Diego, CA 92117",1985
3 Beds,2 Baths,"1,050 sqft","$880,100",Garage,"2662 Tern DrSan Diego, CA 92123",1958
3 Beds,3 Baths,"1,668 sqft","$1,200,000",2 Car Garage,"3749 Fallon CirSan Diego, CA 92130",1988
3 Beds,2 Baths,"1,224 sqft","$450,000",Garage,"7007 Wattle DrSan Diego, CA 92139",1979
2 Beds,2 Baths,"1,191 sqft","$788,000",4 Parking Spaces,"1080 Park Blvd #1801San Diego, CA 92101",2007
